present,location,dist,elev,vector,year,rev_pres
1,Pilgrims,97,3.5,97.06312379,2008,0
0,E.Tarbet,23,2,23.08679276,2008,1
0,E.Tarbet,14,1.6,14.09113196,2008,1
0,E.Tarbet,14,3,14.31782106,2008,1
0,E.Tarbet,14,6,15.23154621,2008,1
0,E.Tarbet,14,3.2,14.36105846,2008,1
0,E.Tarbet,9,4.3,9.974467404,2008,1
0,E.Tarbet,9,3.8,9.769339793,2008,1
0,E.Tarbet,9,2.6,9.368030743,2008,1
0,E.Tarbet,9,2.5,9.340770846,2008,1
0,E.Tarbet,9,3.1,9.518928511,2008,1
0,E.Tarbet,0,2.5,2.5,2008,1
0,E.Tarbet,11,3,11.40175425,2008,1
0,E.Tarbet,11,4.5,11.88486432,2008,1
0,E.Tarbet,0,2,2,2008,1
0,E.Tarbet,11,1.8,11.14629983,2008,1
0,E.Tarbet,0,4.6,4.6,2008,1
0,E.Tarbet,11,1.1,11.05486318,2008,1
0,E.Tarbet,11,1.2,11.06526095,2008,1
0,E.Tarbet,11,2.3,11.23788236,2008,1
0,E.Tarbet,11,2.3,11.23788236,2008,1
0,The_Loan,14,0.6,14.01285124,2008,1
0,The_Loan,23,2.8,23.16980794,2008,1
0,The_Loan,9,4.1,9.889893832,2008,1
0,The_Loan,11,3.4,11.51347037,2008,1
0,The_Loan,11,2.8,11.3507709,2008,1
0,The_Loan,11,2.6,11.30309692,2008,1
0,The_Loan,11,2.4,11.25877436,2008,1
0,The_Loan,12,2.5,12.25765067,2008,1
0,The_Loan,11,2.7,11.32651756,2008,1
0,The_Loan,11,2.7,11.32651756,2008,1
0,The_Loan,1,2.6,2.785677655,2008,1
0,The_Loan,1,2.3,2.507987241,2008,1
0,The_Loan,1,0.6,1.166190379,2008,1
0,The_Loan,1,0.2,1.019803903,2008,1
0,Pilgrims,9,2.3,9.289241088,2008,1
0,Pilgrims,9,3.1,9.518928511,2008,1
0,Pilgrims,9,3.3,9.585927185,2008,1
0,Pilgrims,14,2.8,14.27725464,2008,1
